Title,Date Posted,Employer,Location,Salary,Work Hours,Employment Type,Start Date,Vacancies,Languages,Education,Experience,Responsibilities,Benefits,Valid Through,url
dental hygienist,"Posted on March 06, 2024",Carrière Dentaire,"Sainte-Rose, QC",40.00 HOUR,40 hours per week,Permanent employmentFull time,,1 vacancy,,,,,,4/20/2024,https://www.jobbank.gc.ca/jobsearch/jobposting/40441228?source=searchresults
warehouse associate,"Posted on March 28, 2024",Sugatsune Canada Inc,"Montréal, QC",23.00 HOUR,,Permanent employmentFull time,Starts as soon as possible,1 vacancy,,,,,,,https://www.jobbank.gc.ca/jobsearch/jobposting/40647011?source=searchresults
early childhood educator (ECE),"Posted on March 26, 2024",Centre de services scolaire de Montréal,"Montréal, QC",22.54 HOUR,20 hours per week,Term or contractPart time leading to full time,,10 vacancies,,,,,,5/1/2024,https://www.jobbank.gc.ca/jobsearch/jobposting/40624130?source=searchresults
shop clerk,"Posted on March 20, 2024",MICHAEL ROSSY LTEE,"Baie-Saint-Paul, QC",15.25 HOUR,35 hours per week,Permanent employmentFull time,,1 vacancy,,,,,,4/12/2024,https://www.jobbank.gc.ca/jobsearch/jobposting/40568724?source=searchresults
restaurant supervisor,"Posted on January 29, 2024",B12 HAMBURGER INC,"Laval, QC",17.00 HOUR,35 to 40 hours per week,Permanent employmentFull time,Starts as soon as possible,1 vacancy,English,Secondary (high) school graduation certificate,1 to less than 7 months,,"Health care plan, Bonus, Free parking available, Other benefits, Transportation provided by employer, Parking available",4/18/2024,https://www.jobbank.gc.ca/jobsearch/jobposting/40151568?source=searchresults
Web integrator,"Posted on March 13, 2024",MINISTERE DU CONSEIL EXECUTIF,"Québec, QC",19.21 HOUR,35 hours per week,Casual employmentFull time,,1 vacancy,,,,,,4/12/2024,https://www.jobbank.gc.ca/jobsearch/jobposting/40501025?source=searchresults
reading clinician - secondary school,"Posted on March 21, 2024",ACCOMPAGNEMENT SCOLAIRE INC.,"Québec, QC",30.00 HOUR,5 hours per week,Permanent employmentPart time,,10 vacancies,,,,,,4/30/2024,https://www.jobbank.gc.ca/jobsearch/jobposting/40579094?source=searchresults
billing clerk,"Posted on March 13, 2024",Stein Monast,"Québec, QC","44,000 YEAR",,Permanent employmentFull time,Starts as soon as possible,1 vacancy,,,,,,4/11/2024,https://www.jobbank.gc.ca/jobsearch/jobposting/40504953?source=searchresults
cook,"Posted on March 22, 2024",BOULANGERIE SIBUET INC.,"Saint-Jean-Port-Joli, QC",16.00 HOUR,30 hours per week,Permanent employmentPart time leading to full time,,2 vacancies,,,,,,4/26/2024,https://www.jobbank.gc.ca/jobsearch/jobposting/40589651?source=searchresults
bus and truck mechanic,"Posted on March 07, 2024",Fabrication Mécanique  Lamontagne,"Sherbrooke, QC",25.00 HOUR,40 hours per week,Permanent employmentFull time,Starts as soon as possible,2 vacancies,French,"No degree, certificate or diploma",1 to less than 7 months,"Adjust, repair or replace parts and components of commercial transport truck systems, Inspect and test mechanical units to locate faults and malfunctions, Inspect motor in operation, road test motor vehicles and test automotive systems and components, Adjust, repair or replace parts and components of automotive systems, Adjust, repair or replace parts and components of truck-trailer systems, Diagnose faults and malfunctions, Repair or replace mechanical units or components, Test and adjust repaired systems to manufacturer's specifications, Perform scheduled maintenance service, Test and adjust units to specifications, Complete reports to record problems and work performed","Health care plan, Life insurance, Free parking available, Other benefits",4/4/2024,https://www.jobbank.gc.ca/jobsearch/jobposting/40627150?source=searchresults
night guard,"Posted on February 20, 2024",Ville de Normandin,"Normandin, QC",21.22 HOUR,30 hours per week,Seasonal employmentPart time,,1 vacancy,French,"No degree, certificate or diploma",Experience an asset,,,4/17/2024,https://www.jobbank.gc.ca/jobsearch/jobposting/40327585?source=searchresults
cross dock supervisor,"Posted on March 21, 2024",Groupe Morneau,"Saint-Léonard, QC","65,000 YEAR",,Permanent employmentFull time,Starts as soon as possible,1 vacancy,,,,,,4/19/2024,https://www.jobbank.gc.ca/jobsearch/jobposting/40578704?source=searchresults
wheelabrator operator,"Posted on March 26, 2024",Les Industries Mélymax inc.,"Joliette, QC",19.00 HOUR,,Permanent employmentFull time,Starts as soon as possible,1 vacancy,,,,,,4/24/2024,https://www.jobbank.gc.ca/jobsearch/jobposting/40620778?source=searchresults
